candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
monthly,2,1,0,0,3,12,16,17.65062514280376,17.02244962317328,884,883,1,True,14,16.013689078718297,11,0.14062343848370837,True
monthly,1,1,0,0,2,12,15,18.28284079138817,17.72920757339509,884,883,1,True,14,16.867854717094115,12,0.15463615547802403,True
monthly,2,1,1,0,4,12,17,18.35515734338701,17.647642892519958,884,883,1,True,14,14.357472026634944,10,0.15730166906024534,True
monthly,2,1,0,1,4,12,17,18.505858522133046,17.798344071265994,884,883,1,True,14,14.545580352212603,10,0.1495282469347183,True
monthly,1,1,1,0,3,12,16,18.584037790524874,17.955862270894393,884,883,1,True,14,14.849779045429987,11,0.18947793694412524,True
monthly,1,1,0,1,3,12,16,18.770072701143935,18.141897181513453,884,883,1,True,14,15.058090919360735,11,0.1798529184525579,True
monthly,0,1,0,0,1,12,14,20.413714110507353,19.929843142765417,884,883,1,True,14,23.468750430902656,13,0.036383279166458705,False
monthly,0,1,1,0,2,12,15,20.636237620405822,20.08260440241274,884,883,1,True,14,19.800699770070665,12,0.07095122958960161,True
monthly,2,2,0,0,4,12,17,20.81753278435493,20.11001833348788,884,883,1,True,14,14.69832452015002,10,0.14345358654265986,True
monthly,0,1,0,1,2,12,15,20.833699785692428,20.280066567699347,884,883,1,True,14,20.1919506141447,12,0.06354091627334645,True
monthly,4,0,0,0,4,12,17,55.2911034850272,54.58358903416015,884,883,1,True,14,47.64111638883542,10,7.216761943804473e-07,False
monthly,3,0,0,0,3,12,16,77.00220702674133,76.37403150711084,884,883,1,True,14,63.16549511442843,11,2.380985048199951e-09,False
monthly,2,0,0,0,2,12,15,141.59746284772163,141.04382962972855,884,883,1,True,14,90.0645600394812,12,4.7973150808719195e-14,False
fourier_K1,1,0,0,0,1,2,4,199.4093916633619,199.36383357680154,884,883,1,True,14,118.19711831796944,13,4.569835061690421e-19,False
fourier_K1,1,0,1,0,2,2,5,200.80210966989614,200.73369461858485,884,883,1,True,14,117.78351087934112,12,1.708206849857469e-19,False
fourier_K2,1,0,0,0,1,4,6,203.38595519844318,203.29006478748428,884,883,1,True,14,118.27546290640028,13,4.41004032688983e-19,False
fourier_K2,1,0,1,0,2,4,7,204.7894190589039,204.6614190589039,884,883,1,True,14,117.85865704480712,12,1.650376113433147e-19,False
fourier_K3,1,0,0,0,1,6,8,206.89781478056335,206.7330550551629,884,883,1,True,14,118.9356865224422,13,3.2668982563717566e-19,False
fourier_K3,1,0,1,0,2,6,9,208.32832135364816,208.12213578663784,884,883,1,True,14,118.48885380297752,12,1.2362648748260642e-19,False
fourier_K4,1,0,0,0,1,8,10,210.72578623356108,210.47349265557943,884,883,1,True,14,119.24392799757744,13,2.839712071496171e-19,False
monthly,1,0,0,0,1,12,14,212.07927042286428,211.59539945512233,884,883,1,True,14,110.81126796397444,13,1.2955441148281352e-17,False
fourier_K4,1,0,1,0,2,8,11,212.17364467730442,211.870544792115,884,883,1,True,14,118.78219804330807,12,1.0806543980245382e-19,False
